,Unnamed: 0,ID,Estado,Municipio,Población total,Hombres,Mujeres,Latitude,Longitude
0,0,1,Baja California,Tijuana,1922523,968740,953783,32.5317397,-117.0195295
1,1,2,Ciudad de México,Iztapalapa,1835486,887651,947835,19.3591195,-99.0929294
2,2,3,Guanajuato,León,1721215,846673,874542,42.63414505,-5.971415104539984
3,3,4,Puebla,Puebla,1692181,809485,882696,18.833333,-98.0
4,4,5,Estado de México,Ecatepec de Morelos,1645352,798549,846803,19.5994083,-99.0487281
5,5,6,Chihuahua,Juárez,1512450,756977,755473,19.29348285,-100.46459244066614
6,6,7,Jalisco,Zapopan,1476491,720592,755899,20.7211203,-103.3913671
7,7,8,Jalisco,Guadalajara,1385629,666997,718632,20.6720375,-103.338396
8,8,9,Ciudad de México,Gustavo A. Madero,1173351,563874,609477,19.4838614,-99.1134723
9,9,10,Nuevo León,Monterrey,1142994,564805,578189,25.6802019,-100.315258
10,10,11,Estado de México,Nezahualcóyotl,1077208,519922,557286,19.4079028,-99.0181547
11,11,12,Baja California,Mexicali,1049792,529248,520544,32.6405247,-115.474899
12,12,13,Querétaro,Querétaro,1049777,514589,535188,20.5927744,-100.3902245
13,13,14,Sinaloa,Culiacán,1003530,491046,512484,24.7978965,-107.393395
14,14,15,Yucatán,Mérida,995129,479369,515760,38.9174665,-6.3443977
15,15,16,Aguascalientes,Aguascalientes,948990,462073,486917,22.0000001,-102.5000001
16,16,17,Chihuahua,Chihuahua,937674,457240,480434,28.5000001,-106.0000001
17,17,18,Sonora,Hermosillo,936263,467490,468773,29.0948207,-110.9692202
18,18,19,San Luis Potosí,San Luis Potosí,911908,440897,471011,22.5000001,-100.4949145
19,19,20,Quintana Roo,Benito Juárez,911503,459325,452178,19.3717897,-99.1579191
20,20,21,Estado de México,Toluca,910608,439173,471435,19.292545,-99.6569007
21,21,22,Coahuila de Zaragoza,Saltillo,879958,437792,442166,25.4230425,-100.9927509
